,date,home team,score,away team
310,23-09-2023,Man City,2 - 0,Nott'm Forest
311,01-10-2023,Nott'm Forest,1 - 1,Brentford
312,07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
313,21-10-2023,Nott'm Forest,2 - 2,Luton
314,29-10-2023,Liverpool,3 - 0,Nott'm Forest
315,05-11-2023,Nott'm Forest,2 - 0,Aston Villa
316,12-11-2023,West Ham,3 - 2,Nott'm Forest
317,25-11-2023,Nott'm Forest,2 - 3,Brighton
318,02-12-2023,Nott'm Forest,0 - 1,Everton
319,06-12-2023,Fulham,5 - 0,Nott'm Forest
320,09-12-2023,Wolves,1 - 1,Nott'm Forest
321,15-12-2023,Nott'm Forest,0 - 2,Tottenham
322,23-12-2023,Nott'm Forest,2 - 3,Bournemouth
323,26-12-2023,Newcastle,1 - 3,Nott'm Forest
324,30-12-2023,Nott'm Forest,2 - 1,Man United
325,12-08-2023,Sheffield United,0 - 1,Crystal Palace
326,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
327,27-08-2023,Sheffield United,1 - 2,Man City
328,02-09-2023,Sheffield United,2 - 2,Everton
329,16-09-2023,Tottenham,2 - 1,Sheffield United
330,24-09-2023,Sheffield United,0 - 8,Newcastle
331,30-09-2023,West Ham,2 - 0,Sheffield United
332,07-10-2023,Fulham,3 - 1,Sheffield United
333,21-10-2023,Sheffield United,1 - 2,Man United
334,28-10-2023,Arsenal,5 - 0,Sheffield United
335,04-11-2023,Sheffield United,2 - 1,Wolves
336,12-11-2023,Brighton,1 - 1,Sheffield United
337,25-11-2023,Sheffield United,1 - 3,Bournemouth
338,02-12-2023,Burnley,5 - 0,Sheffield United
339,06-12-2023,Sheffield United,0 - 2,Liverpool
340,09-12-2023,Sheffield United,1 - 0,Brentford
341,16-12-2023,Chelsea,2 - 0,Sheffield United
342,22-12-2023,Aston Villa,1 - 1,Sheffield United
343,26-12-2023,Sheffield United,2 - 3,Luton
344,30-12-2023,Man City,2 - 0,Sheffield United
345,13-08-2023,Brentford,2 - 2,Tottenham
346,19-08-2023,Tottenham,2 - 0,Man United
347,26-08-2023,Bournemouth,0 - 2,Tottenham
348,02-09-2023,Burnley,2 - 5,Tottenham
349,16-09-2023,Tottenham,2 - 1,Sheffield United
350,24-09-2023,Arsenal,2 - 2,Tottenham
351,30-09-2023,Tottenham,2 - 1,Liverpool
352,07-10-2023,Luton,0 - 1,Tottenham
353,23-10-2023,Tottenham,2 - 0,Fulham
354,27-10-2023,Crystal Palace,1 - 2,Tottenham
355,06-11-2023,Tottenham,1 - 4,Chelsea
356,11-11-2023,Wolves,2 - 1,Tottenham
357,26-11-2023,Tottenham,1 - 2,Aston Villa
358,03-12-2023,Man City,3 - 3,Tottenham
359,07-12-2023,Tottenham,1 - 2,West Ham
360,10-12-2023,Tottenham,4 - 1,Newcastle
361,15-12-2023,Nott'm Forest,0 - 2,Tottenham
362,23-12-2023,Tottenham,2 - 1,Everton
363,28-12-2023,Brighton,4 - 2,Tottenham
364,31-12-2023,Tottenham,3 - 1,Bournemouth
365,14-01-2024,Man United,? - ?,Tottenham
366,12-08-2023,Bournemouth,1 - 1,West Ham
367,20-08-2023,West Ham,3 - 1,Chelsea
368,26-08-2023,Brighton,1 - 3,West Ham
369,01-09-2023,Luton,1 - 2,West Ham
370,16-09-2023,West Ham,1 - 3,Man City
371,24-09-2023,Liverpool,3 - 1,West Ham
372,30-09-2023,West Ham,2 - 0,Sheffield United
373,08-10-2023,West Ham,2 - 2,Newcastle
374,22-10-2023,Aston Villa,4 - 1,West Ham
375,29-10-2023,West Ham,0 - 1,Everton
376,04-11-2023,Brentford,3 - 2,West Ham
